match_name,ranking_name,note
Brunei,Brunei Darussalam,Short form vs full FIFA name
Cape Verde,Cabo Verde,FIFA uses Portuguese spelling
Czech Republic,Czechia,FIFA renamed in 2016 to short form
DR Congo,Congo DR,Word order difference
Gambia,The Gambia,FIFA uses definite article
Iran,IR Iran,FIFA uses Islamic Republic abbreviation
Ivory Coast,Côte d'Ivoire,FIFA uses French official name
Kyrgyzstan,Kyrgyz Republic,Official vs common form
North Korea,Korea DPR,FIFA uses official DPR designation
South Korea,Korea Republic,FIFA uses official name
Saint Kitts and Nevis,St Kitts and Nevis,Saint vs St
Saint Lucia,St Lucia,Saint vs St
Saint Vincent and the Grenadines,St Vincent and the Grenadines,Saint vs St
São Tomé and Príncipe,Sao Tome and Principe,Diacritics removed in rankings
Taiwan,Chinese Taipei,Political naming convention used by FIFA
United States,USA,Long form vs abbreviation
United States Virgin Islands,US Virgin Islands,Long form vs short form
Curaçao,Curacao,Cedilla diacritic difference
