match_key,date_key,home_team_key,away_team_key,tournament_key,match_context_key,home_score,away_score,goal_difference,home_rank,away_rank,home_points,away_points,rank_gap,points_gap,ranking_predicted_winner,actual_winner,ranking_was_correct
1,19930101,77,121,1,3,1,1,0,39.0,69.0,34.0,22.0,30.0,12.0,home,draw,False
2,19930102,74,32,1,1,1,1,0,55.0,97.0,27.0,11.0,42.0,16.0,home,draw,False
3,19930102,105,109,1,1,2,0,2,71.0,161.0,21.0,0.0,90.0,21.0,home,home,True
4,19930103,32,121,1,3,1,0,1,97.0,69.0,11.0,22.0,-28.0,-11.0,away,home,False
5,19930103,74,77,1,1,2,3,-1,55.0,39.0,27.0,34.0,-16.0,-7.0,away,away,True
6,19930108,203,190,1,1,3,1,2,92.0,80.0,12.0,15.0,-12.0,-3.0,away,home,False
7,19930110,6,216,2,1,1,1,0,102.0,54.0,10.0,27.0,-48.0,-17.0,away,draw,False
8,19930110,27,176,1,1,0,2,-2,139.0,124.0,2.0,5.0,-15.0,-3.0,away,away,True
9,19930110,166,3,3,1,1,2,-1,51.0,30.0,27.0,39.0,-21.0,-12.0,away,away,True
10,19930110,197,31,1,1,3,0,3,38.0,26.0,35.0,41.0,-12.0,-6.0,away,home,False
11,19930110,203,190,1,1,2,0,2,92.0,80.0,12.0,15.0,-12.0,-3.0,away,home,False
12,19930116,176,141,2,1,0,0,0,124.0,13.0,5.0,50.0,-111.0,-45.0,away,draw,False
13,19930116,190,215,2,1,1,3,-2,80.0,32.0,15.0,38.0,-48.0,-23.0,away,away,True
14,19930117,22,197,2,1,0,5,-5,127.0,38.0,4.0,35.0,-89.0,-31.0,away,away,True
15,19930117,27,56,2,1,0,0,0,139.0,27.0,2.0,41.0,-112.0,-39.0,away,draw,False
16,19930117,33,3,2,1,0,0,0,100.0,30.0,10.0,39.0,-70.0,-29.0,away,draw,False
17,19930117,69,130,2,1,0,1,-1,85.0,41.0,14.0,32.0,-44.0,-18.0,away,away,True
18,19930117,131,74,2,1,1,1,0,107.0,55.0,9.0,27.0,-52.0,-18.0,away,draw,False
19,19930117,133,117,2,1,0,1,-1,158.0,74.0,0.0,18.0,-84.0,-18.0,away,away,True
20,19930117,68,36,2,2,0,0,0,104.0,22.0,10.0,43.0,-82.0,-33.0,away,draw,False
